"","species","chemical","light","height","log.height"
"615","S.scheelei","crude","open",8.6,2.26176309847379
"616","M.maximus","crude","open",21.3,3.10458667846607
"617","X.texanum","standard","open",1.7,0.993251773010283
"618","C.fasciculata","standard","open",17.1,2.89591193827178
"619","S.scheelei","standard","open",3,1.38629436111989
"620","M.maximus","standard","open",37.1,3.64021428213266
"621","X.texanum","none","open",0.9,0.641853886172395
"622","C.fasciculata","none","open",7.9,2.18605127673809
"623","S.scheelei","none","open",4.5,1.70474809223843
"624","M.maximus","none","open",23,3.17805383034795
"627","S.scheelei","crude","shade",5,1.79175946922805
"630","C.fasciculata","standard","shade",9.9,2.3887627892351
"631","S.scheelei","standard","shade",7.5,2.14006616349627
"632","M.maximus","standard","shade",7.1,2.09186406167839
"634","C.fasciculata","none","shade",9.3,2.33214389523559
"635","S.scheelei","none","shade",3.1,1.41098697371026
"636","M.maximus","none","shade",14.9,2.76631910922619
"638","C.fasciculata","crude","open",4.1,1.62924053973028
"639","S.scheelei","crude","open",9.5,2.35137525716348
"640","M.maximus","crude","open",23.8,3.21084365317094
"641","X.texanum","standard","open",1.9,1.06471073699243
"642","C.fasciculata","standard","open",15.8,2.82137888640921
"643","S.scheelei","standard","open",7.2,2.10413415427021
"644","M.maximus","standard","open",35,3.58351893845611
"645","X.texanum","none","open",0.4,0.336472236621213
"646","C.fasciculata","none","open",13.6,2.68102152871429
"647","S.scheelei","none","open",7,2.07944154167984
"648","M.maximus","none","open",37.2,3.64283551561253
"651","S.scheelei","crude","shade",2.1,1.1314021114911
"655","S.scheelei","standard","shade",8.9,2.29253475714054
"656","M.maximus","standard","shade",1.6,0.955511445027436
"658","C.fasciculata","none","shade",9.8,2.37954613413017
"659","S.scheelei","none","shade",4.1,1.62924053973028
"660","M.maximus","none","shade",11.9,2.55722731136763
"662","C.fasciculata","crude","open",11.1,2.4932054526027
"663","S.scheelei","crude","open",9.8,2.37954613413017
"664","M.maximus","crude","open",26.6,3.3178157727231
"666","C.fasciculata","standard","open",18.2,2.95491027903374
"667","S.scheelei","standard","open",8.1,2.2082744135228
"668","M.maximus","standard","open",28.7,3.39114704580865
"669","X.texanum","none","open",0.8,0.587786664902119
"670","C.fasciculata","none","open",9.6,2.36085400111802
"671","S.scheelei","none","open",6.6,2.02814824729229
"672","M.maximus","none","open",32.6,3.51452606696916
"675","S.scheelei","crude","shade",4.3,1.66770682055808
"679","S.scheelei","standard","shade",7.3,2.11625551480255
"682","C.fasciculata","none","shade",12.8,2.62466859216316
"683","S.scheelei","none","shade",4.1,1.62924053973028
"684","M.maximus","none","shade",5.2,1.82454929205105
"686","C.fasciculata","crude","open",7.6,2.15176220325946
"687","S.scheelei","crude","open",15.1,2.77881927199042
"688","M.maximus","crude","open",29.6,3.42100000895834
"690","C.fasciculata","standard","open",17.7,2.92852352386054
"691","S.scheelei","standard","open",9.4,2.34180580614733
"692","M.maximus","standard","open",25.5,3.27714473299218
"693","X.texanum","none","open",0.6,0.470003629245736
"694","C.fasciculata","none","open",3.8,1.56861591791385
"695","S.scheelei","none","open",5.4,1.85629799036563
"696","M.maximus","none","open",28.1,3.37073817417745
