entry ,species,chemical,light,week,result
663,S.scheelei,crude,open,3,1
664,M.maximus,crude,open,3,1
665,X.texanum,standard,open,3,1
666,C.fasciculata,standard,open,3,1
667,S.scheelei,standard,open,3,1
668,M.maximus,standard,open,3,1
669,X.texanum,none,open,3,1
670,C.fasciculata,none,open,3,1
671,S.scheelei,none,open,3,1
672,M.maximus,none,open,3,1
673,X.texanum,crude,shade,4,0
674,C.fasciculata,crude,shade,4,1
675,S.scheelei,crude,shade,4,1
676,M.maximus,crude,shade,4,1
677,X.texanum,standard,shade,4,1
678,C.fasciculata,standard,shade,4,1
679,S.scheelei,standard,shade,4,1
680,M.maximus,standard,shade,4,1
681,X.texanum,none,shade,4,1
682,C.fasciculata,none,shade,4,1
683,S.scheelei,none,shade,4,1
684,M.maximus,none,shade,4,1
685,X.texanum,crude,open,4,0
686,C.fasciculata,crude,open,4,1
687,S.scheelei,crude,open,4,1
688,M.maximus,crude,open,4,1
689,X.texanum,standard,open,4,1
690,C.fasciculata,standard,open,4,1
691,S.scheelei,standard,open,4,1
692,M.maximus,standard,open,4,1
693,X.texanum,none,open,4,1
694,C.fasciculata,none,open,4,1
695,S.scheelei,none,open,4,1
696,M.maximus,none,open,4,1
697,X.texanum,crude,shade,5,0
698,C.fasciculata,crude,shade,5,1
699,S.scheelei,crude,shade,5,1
700,M.maximus,crude,shade,5,1
701,X.texanum,standard,shade,5,1
702,C.fasciculata,standard,shade,5,1
703,S.scheelei,standard,shade,5,1
704,M.maximus,standard,shade,5,1
705,X.texanum,none,shade,5,1
706,C.fasciculata,none,shade,5,1
707,S.scheelei,none,shade,5,1
708,M.maximus,none,shade,5,1
709,X.texanum,crude,open,5,0
710,C.fasciculata,crude,open,5,1
711,S.scheelei,crude,open,5,1
712,M.maximus,crude,open,5,1
713,X.texanum,standard,open,5,1
714,C.fasciculata,standard,open,5,1
715,S.scheelei,standard,open,5,1
716,M.maximus,standard,open,5,1
717,X.texanum,none,open,5,1
718,C.fasciculata,none,open,5,1
719,S.scheelei,none,open,5,1
720,M.maximus,none,open,5,1
721,X.texanum,none,shade,0,0
722,C.fasciculata,none,shade,0,0
723,S.scheelei,none,shade,0,0
724,M.maximus,none,shade,0,0
725,X.texanum,crude,shade,0,0
726,C.fasciculata,crude,shade,0,0
727,S.scheelei,crude,shade,0,0
728,M.maximus,crude,shade,0,0
729,X.texanum,standard,shade,0,0
730,C.fasciculata,standard,shade,0,0
731,S.scheelei,standard,shade,0,0
732,M.maximus,standard,shade,0,0
733,X.texanum,none,open,0,0
734,C.fasciculata,none,open,0,0
735,S.scheelei,none,open,0,0
736,M.maximus,none,open,0,0
737,X.texanum,crude,open,0,0
738,C.fasciculata,crude,open,0,0
739,S.scheelei,crude,open,0,0
740,M.maximus,crude,open,0,0
741,X.texanum,standard,open,0,0
742,C.fasciculata,standard,open,0,0
743,S.scheelei,standard,open,0,0
744,M.maximus,standard,open,0,0
745,X.texanum,none,shade,1,0
746,C.fasciculata,none,shade,1,1
747,S.scheelei,none,shade,1,0
748,M.maximus,none,shade,1,1
749,X.texanum,crude,shade,1,0
750,C.fasciculata,crude,shade,1,0
751,S.scheelei,crude,shade,1,0
752,M.maximus,crude,shade,1,0
753,X.texanum,standard,shade,1,0
754,C.fasciculata,standard,shade,1,0
755,S.scheelei,standard,shade,1,0
756,M.maximus,standard,shade,1,0
757,X.texanum,none,open,1,0
758,C.fasciculata,none,open,1,1
759,S.scheelei,none,open,1,0
760,M.maximus,none,open,1,1
761,X.texanum,crude,open,1,0
762,C.fasciculata,crude,open,1,0
763,S.scheelei,crude,open,1,0
764,M.maximus,crude,open,1,0
765,X.texanum,standard,open,1,0
766,C.fasciculata,standard,open,1,0
767,S.scheelei,standard,open,1,0
768,M.maximus,standard,open,1,0
769,X.texanum,crude,shade,2,0
770,C.fasciculata,crude,shade,2,1
771,S.scheelei,crude,shade,2,1
772,M.maximus,crude,shade,2,1
773,X.texanum,standard,shade,2,1
774,C.fasciculata,standard,shade,2,1
775,S.scheelei,standard,shade,2,1
776,M.maximus,standard,shade,2,1
777,X.texanum,none,shade,2,0
