species,chemical,shade,tissue,AVG,AVGadj,logAVG,logAVGadj,SE,logSE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
M.maximus,none,shade,below,1.718518519,1.718518519,0.434332296,0.434332296,0.323211891,0.121629395,8,10,8,6,11,0.5,1,1,0.5,1.7,0.5,3.1,1.3,0.4,3.5,0.7,0.6,1.3,0.6,0.6,1.4,1.5,1.2,0.3,1.1,2.5,1,0.7,0.2,1.1,0.8,0.7,1.6,2.1,0.7,0.8,0.2,0.4,1.3,0.5,0.9,0.8,0.6,0.6,1.5,1.1,0.7,0.9,0.9,0.7,2,0.7,0.1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,none,shade,above,4.485185185,6.203703704,0.739191294,1.17352359,0.793370537,0.253670031,9,23,25,11,30,2,5,7,2,5.6,2,10.1,2.9,1.9,11.3,2.4,4.5,2.1,2,2.1,2.2,2.1,4.3,1.6,5,1.3,1.5,2.1,1.6,3.1,1.8,3.7,4,3.5,4.5,2,2,2.3,3.2,1.6,1.7,2,0.9,0.7,1.8,2.8,2.2,1.6,2.6,1.3,3.1,3.9,0.9,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,none,shade,total,6.203703704,,0.857555842,,1.097891897,0.321783106,17,33,33,17,41,2.5,6,8,2.5,7.3,2.5,13.2,4.2,2.3,14.8,3.1,5.1,3.4,2.6,2.7,3.6,3.6,5.5,1.9,6.1,3.8,2.5,2.8,1.8,4.2,2.6,4.4,5.6,5.6,5.2,2.8,2.2,2.7,4.5,2.1,2.6,2.8,1.5,1.3,3.3,3.9,2.9,2.5,3.5,2,5.1,4.6,1,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,none,shade,root.shoot,0.41175752,,0.14976011,,0.039212704,0.016704447,0.888888889,0.434782609,0.32,0.545454546,0.366666667,0.25,0.2,0.142857143,0.25,0.303571429,0.25,0.306930693,0.448275862,0.210526316,0.309734513,0.291666667,0.133333333,0.619047619,0.3,0.285714286,0.636363636,0.714285714,0.279069767,0.1875,0.22,1.923076923,0.666666667,0.333333333,0.125,0.35483871,0.444444444,0.189189189,0.4,0.6,0.155555556,0.4,0.1,0.173913044,0.40625,0.3125,0.529411765,0.4,0.666666667,0.857142857,0.833333333,0.392857143,0.318181818,0.5625,0.346153846,0.538461539,0.64516129,0.17948718,0.111111111,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,crude,open,below,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,crude,open,above,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,crude,open,total,0,,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,crude,open,root.shoot,0,,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,crude,open,below,14.55714286,14.55714286,1.19192984,1.19192984,2.204347445,0.5057396,17,20,10,12,6,2,2,4,13,3,7,14,15,9,23,26,42,2,0.5,2,31,22,17,20,10,4,61,24,16,9,3,11,37,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,crude,open,above,36.82857143,51.38571429,1.577819941,2.76974978,4.388963568,0.731505248,49,46,40,32,22,34,9,12,52,10,19,37,42,21,47,120,68,5,6,9,35,34,47,32,28,16,55,57,57,12,22,51,112,29,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,crude,open,total,51.38571429,,1.71921287,,6.10242016,0.85140636,66,66,50,44,28,36,11,16,65,13,26,51,57,30,70,146,110,7,6.5,11,66,56,64,52,38,20,116,81,73,21,25,62,149,35,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,crude,open,root.shoot,0.382612296,,0.140700415,,0.036688018,0.015648079,0.346938776,0.434782609,0.25,0.375,0.272727273,0.058823529,0.222222222,0.333333333,0.25,0.3,0.368421053,0.378378378,0.357142857,0.428571429,0.489361702,0.216666667,0.617647059,0.4,0.083333333,0.222222222,0.885714286,0.647058824,0.361702128,0.625,0.357142857,0.25,1.109090909,0.421052632,0.280701754,0.75,0.136363636,0.215686275,0.330357143,0.206896552,0.409090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,crude,open,below,12.8375,12.8375,1.141057634,1.141057634,1.689180075,0.429619885,21,23,10,2,5,28,32,20,25,15,2,4,5,5,11,12,14,13,7,27,9,42,18,3,11,1,0.5,3,1,17,23,8,9,14,2,3,3,35,26,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,crude,open,above,14.675,27.5125,1.19520755,2.336265183,1.219703358,0.346294939,21,19,13,13,16,28,34,11,37,19,9,12,15,8,17,23,19,14,17,24,19,15,18,6,15,8,3,4,3,18,13,13,10,18,7,5,6,13,18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,crude,open,total,27.5125,,1.455035298,,2.656118209,0.563020229,42,42,23,15,21,56,66,31,62,34,11,16,20,13,28,35,33,27,24,51,28,57,36,9,26,9,3.5,7,4,35,36,21,19,32,9,8,9,48,44,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,crude,open,root.shoot,0.815836605,,0.259076767,,0.094311619,0.039141011,1,1.210526316,0.769230769,0.153846154,0.3125,1,0.941176471,1.818181818,0.675675676,0.789473684,0.222222222,0.333333333,0.333333333,0.625,0.647058824,0.52173913,0.736842105,0.928571429,0.411764706,1.125,0.473684211,2.8,1,0.5,0.733333333,0.125,0.166666667,0.75,0.333333333,0.944444444,1.769230769,0.615384615,0.9,0.777777778,0.285714286,0.6,0.5,2.692307692,1.444444444,0.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
