species,chemical,shade,date,week,average,SE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
M.maximus,standard,open,11/19/21,2,7.579069767,0.290311593,7.5,5.4,3.1,8.2,9,8.5,10.3,7.8,9.6,8.9,9,8,5.7,10.9,8.2,8.1,8.2,9.1,5.4,9.5,8.4,6.5,1.9,7.2,7.3,7.6,8.7,9.9,6.6,3.2,5.6,8.8,7,7.8,9.2,6.9,8.9,7.4,5.8,6.3,9.2,6.4,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,none,open,11/19/21,2,0.41,0.046396461,0.3,0.2,0.7,0.7,0.3,0.4,0.4,0.3,0.5,0.6,0.4,1,0.5,0.4,0.3,0.2,0.2,0.3,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,none,open,11/19/21,2,3.734042553,0.270475591,4.2,4.3,1.6,2.8,3.3,4.2,1,6.2,5.6,4.7,3.2,4.3,4.6,3.7,6.5,6.9,1.1,1.2,6.1,1.7,1.7,2.2,1.5,4,1.7,1.5,2.9,4.4,3.9,3.8,7,4.5,5.9,1.4,1.1,2.3,6,4.4,7,4.1,3.4,5.2,0.8,6.5,3.9,5.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,none,open,11/19/21,2,3.335416667,0.285035919,7.1,5.8,3.7,1.3,2.6,2.2,1.5,5.9,2.5,1.9,6.7,6.1,1.3,1.5,2,3.6,1.7,1.9,1.5,0.5,1.6,2.1,4.5,2.5,1,3.7,5.2,3,1.2,0.9,2.5,3.4,4.6,4.7,7.1,3.2,2.1,6,0.8,4.2,1.9,4.1,4.4,5,8.9,4,2.3,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,none,open,11/19/21,2,15.28,0.403769423,15.5,15.7,15,16.2,9.7,15.3,2.1,10.3,10.5,16.1,14.3,14.1,17.7,13.9,13.5,16.9,18.6,18.2,18.7,16.2,17,18.3,18.9,18.6,17.5,10.5,19.7,19.3,11.2,18.6,16.3,18.2,16.2,16.5,6.1,19.1,17,15,12.1,18.2,14.7,13.9,15.5,16.3,14.2,17.9,21,20.5,14.9,14.1,18.6,16.8,18.4,15.9,18.7,16,12.6,8.4,12.9,19.1,17.2,16,15.1,17.6,9.5,11.9,17,21.4,13.2,17.8,16.7,17,16.2,6.2,10.1,14.6,15.1,16.9,10.9,8.8,,,,,,,,,,,,,,,,,,
X.texanum,crude,shade,11/26/21,3,0.3,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,crude,shade,11/26/21,3,5.871428571,0.545554318,7.1,8.2,5.9,6,6,6.7,3.1,8,2.7,6.4,4.2,2.3,8.5,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,crude,shade,11/26/21,3,3.479545455,0.181390552,4.5,5.2,2,2.6,1.3,5.4,1.5,0.9,1.7,3.2,4.8,2.1,4.1,3.8,2.5,2.1,4.5,4.1,4.5,4.3,2.1,3.7,4,4.7,4.3,3.5,3.7,2.9,3.6,2.2,3.2,4.8,4.2,1.9,4.7,4,5,3.9,4.6,2.9,2,4.2,5.1,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,crude,shade,11/26/21,3,5.966666667,0.462337581,8.3,6.4,4.3,6,5.5,5.7,4.9,5.1,6.2,7.2,3,7.3,2.6,1.5,6.7,2,4,6.9,8.6,8.2,5.7,7.7,9.9,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,standard,shade,11/26/21,3,0.7125,0.0875,0.7,0.5,1,0.6,0.3,0.7,0.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,standard,shade,11/26/21,3,6.383783784,0.363882004,9.8,9.2,6.9,8.7,6.7,5.4,3.9,7.3,9.2,7.1,9.2,4.4,9.9,9.6,7.5,2,5.6,3.8,7.1,6.2,5.5,4.7,9,5.2,9.4,5.8,4.1,6,4,6.1,6.3,2.1,4.5,6.1,9.2,3.6,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,standard,shade,11/26/21,3,4.372881356,0.175881025,2.5,2.4,7.1,7.3,4.1,7.5,3,4.9,4.8,4.8,3.7,5,4.1,4.7,4.5,5.9,4.8,3.6,3.7,4.9,3,4.4,4.9,3.8,5.7,3.9,5.6,5.3,5.4,3,5.4,1.2,3.6,4.5,3.5,5.5,4.9,2.5,3.6,3.1,4.2,3.5,5.2,6,3.7,4.1,0.9,4,5.7,6.1,3.8,2.6,4.5,3.4,7.2,4.7,4.1,3.3,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,standard,shade,11/26/21,3,6.271428571,0.500683584,9.6,12.5,3.8,5.4,7.9,6.9,1.7,6.6,7,4.1,4,5.8,5.3,4.8,4.9,4.5,4.8,4.3,5.1,4.9,3.5,6.2,8.6,3.6,9.7,11.1,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,crude,open,11/26/21,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,crude,open,11/26/21,3,4.063636364,0.32168115,1.9,3.9,4.3,6.2,1.1,6.8,4.2,5.1,4,2.8,7,8.2,2.5,9.1,4.2,6.5,3.2,2.6,2.9,2.5,1.3,3.4,5.3,1.1,6,1.6,4.2,1.9,2.6,1.4,5.6,5,6.4,1.7,5.1,6.9,2.6,3.1,1.4,2,5.7,7.6,2.2,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
